,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temperature,Wind Speed
371,Dwarka,90,IN,1564161642,100,28.58,77.04,87.01,4.7
372,Manado,40,ID,1564161474,94,1.49,124.85,73.4,4.7
373,Narrabri,57,AU,1564161644,53,-30.33,149.78,50.0,3.76
374,Hearst,100,CA,1564161646,63,49.69,-83.67,74.02,10.85
375,Gisborne,0,NZ,1564161648,99,-38.66,178.02,39.99,3.0
376,Valdosta,1,US,1564161649,58,30.83,-83.28,84.99,6.93
377,Azle,40,US,1564161650,33,32.9,-97.55,88.0,8.05
378,Alpena,1,US,1564161651,39,45.06,-83.43,84.99,8.05
379,ChengDe,0,CN,1564161653,59,40.97,117.93,71.5,0.98
380,Bam,33,IR,1564161654,18,29.11,58.36,65.74,2.71
381,Harper,40,US,1564161656,51,30.3,-99.24,86.0,5.64
382,Gamba,69,CN,1564161657,64,28.28,88.52,45.58,5.3
383,Sovetsk,47,RU,1564161658,80,55.08,21.89,68.08,7.92
384,Nalvo,100,PH,1564161660,89,16.81,120.51,75.64,2.55
385,Guanambi,0,BR,1564161661,21,-14.22,-42.78,82.48,11.25
386,Am Timan,100,TD,1564161663,87,11.04,20.28,73.12,0.4
387,Solnechnyy,100,RU,1564161664,97,50.72,136.64,51.88,2.75
388,Bambous Virieux,75,MU,1564161666,94,-20.34,57.76,71.6,14.99
389,Trinidad,75,BO,1564161667,46,-14.83,-64.9,73.4,13.87
390,Edson,1,CA,1564161669,55,53.59,-116.44,64.4,3.36
391,Turan,100,RU,1564161670,89,52.15,93.92,49.72,3.33
392,Choma,0,ZM,1564161671,28,-16.81,26.98,54.94,5.1
393,Hede,0,SE,1564161673,42,60.45,15.49,82.4,10.29
394,Ellensburg,1,US,1564161477,40,47.0,-120.55,80.01,4.7
395,Thompson,90,CA,1564161675,100,55.74,-97.86,51.8,9.17
396,Saint-Pierre,0,FR,1564161677,35,48.95,4.24,93.2,10.29
397,Tari,40,NG,1564161678,43,12.41,4.49,92.56,6.64
398,Ossora,100,RU,1564161680,49,59.24,163.07,51.88,4.38
399,Blanquefort,100,FR,1564161681,94,44.91,-0.64,70.0,9.17
400,Jijiga,73,ET,1564161683,87,9.35,42.8,59.26,7.54
401,Grand-Santi,85,GF,1564161684,88,4.27,-54.38,79.78,4.25
402,Nagato,20,JP,1564161685,88,34.35,131.14,80.6,1.12
403,Neiafu,90,TO,1564161687,88,-18.65,-173.98,73.4,9.17
404,Novo Oriente,18,BR,1564161688,39,-5.54,-40.77,85.36,10.98
405,Nassau,75,AT,1564161451,73,46.81,15.34,80.6,4.7
406,Gerash,0,IR,1564161483,30,27.67,54.14,96.8,4.7
407,Chitipa,14,MW,1564161692,69,-9.7,33.27,53.5,5.26
408,Visby,0,SE,1564161694,53,57.64,18.3,75.2,10.29
409,Hovd,0,NO,1564161695,58,63.83,10.7,84.2,6.93
410,Pangnirtung,90,CA,1564161697,100,66.15,-65.72,42.8,9.17
411,Kurri Kurri,88,AU,1564161698,87,-32.82,151.48,57.0,5.82
412,Lorengau,75,PG,1564161699,84,-2.02,147.27,79.42,9.19
413,Sharjah,45,AE,1564161701,47,25.36,55.39,98.6,8.05
414,Atyrau,75,KZ,1564161702,32,47.1,51.92,82.4,8.95
415,Kondinskoye,66,RU,1564161703,78,59.65,67.41,64.48,5.7
416,Bilibino,65,RU,1564161705,61,68.06,166.44,40.72,4.88
417,Methoni,20,GR,1564161708,35,36.82,21.7,86.0,11.83
418,Port-Cartier,90,CA,1564161709,49,50.03,-66.88,71.01,5.82
419,Bida,100,NG,1564161710,90,9.08,6.02,77.62,5.73
420,La Asuncion,0,AR,1564161712,26,-26.05,-65.39,58.18,7.56
421,Namie,100,JP,1564161713,90,37.52,140.86,81.0,9.48
422,Marsa Matruh,20,EG,1564161615,65,31.35,27.25,82.4,8.05
423,Shenjiamen,99,CN,1564161716,89,29.96,122.3,81.94,14.83
424,Ha Giang,86,VN,1564161717,98,22.83,104.99,65.56,2.73
425,Iqaluit,90,CA,1564161425,93,63.75,-68.52,46.0,4.7
426,Tete,0,MZ,1564161720,40,-16.16,33.59,73.4,9.17
427,Caluquembe,0,AO,1564161721,14,-13.78,14.68,60.34,3.13
428,Verkhoyansk,100,RU,1564161723,54,67.55,133.39,48.64,7.7
429,Sao Joaquim da Barra,0,BR,1564161724,25,-20.58,-47.85,84.2,4.7
430,Macusani,0,PE,1564161726,28,-14.07,-70.43,45.04,11.77
431,Bealanana,50,MG,1564161727,81,-14.54,48.75,58.54,8.95
432,Airai,85,TL,1564161729,84,-8.93,125.41,67.54,4.43
433,Passo de Camaragibe,75,BR,1564161730,78,-9.24,-35.49,75.2,10.29
434,Rapid Valley,1,US,1564161622,42,44.06,-103.15,84.0,9.17
435,Muros,40,ES,1564161733,60,42.77,-9.06,70.0,8.05
436,Tianpeng,0,CN,1564161734,79,28.88,112.34,83.2,5.59
437,Lerwick,0,GB,1564161735,73,60.15,-1.15,71.6,16.11
438,Changde,0,CN,1564161737,80,29.04,111.68,82.3,6.08
439,San Patricio,68,PY,1564161738,77,-26.98,-56.83,52.24,4.47
440,Puebloviejo,40,CO,1564161740,74,10.99,-74.28,89.6,6.93
441,Aldan,79,RU,1564161742,81,58.61,125.39,53.14,2.42
442,Alta Floresta,0,BR,1564161743,24,-9.87,-56.08,95.0,9.17
443,Sokolo,81,ML,1564161744,36,14.74,-6.12,95.8,1.01
444,Kargil,97,PK,1564161746,61,34.56,76.13,54.22,3.65
445,Khawhai,100,IN,1564161747,98,23.52,93.19,70.06,2.37
446,Palmer,75,AU,1564161749,93,-34.85,139.16,48.99,4.7
447,Skelleftea,0,SE,1564161750,39,64.75,20.95,86.0,5.82
448,Merrill,1,US,1564161751,44,42.03,-121.6,79.0,6.93
449,Ewa Beach,20,US,1564161584,69,21.32,-158.01,81.0,8.05
450,Tezu,94,IN,1564161754,97,27.93,96.16,72.58,3.71
451,Udachnyy,40,RU,1564161756,76,66.42,112.4,55.4,8.95
452,Kirakira,100,SB,1564161757,86,-10.46,161.92,77.8,16.46
453,Konstantinovka,65,UA,1564161758,42,46.85,29.85,78.88,9.37
454,Arcata,90,US,1564161605,100,40.87,-124.08,63.0,4.7
455,Vung Tau,92,VN,1564161761,80,10.35,107.08,79.42,6.69
456,Aksum,100,ET,1564161762,88,14.12,38.72,64.48,6.85
457,Khash,2,IR,1564161764,24,28.22,61.21,70.06,3.33
458,Pocone,0,BR,1564161765,26,-16.26,-56.62,85.36,5.55
459,Fort Nelson,40,CA,1564161767,77,58.81,-122.69,64.4,3.36
460,Amapa,40,HN,1564161768,58,15.09,-87.97,93.0,4.7
461,Kailua,75,US,1564161770,88,21.39,-157.74,81.0,11.41
462,Alto Parana,0,BR,1564161771,64,-23.13,-52.32,73.4,5.82
463,Chimoio,0,MZ,1564161772,67,-19.11,33.48,60.8,4.85
464,Kaya,47,NG,1564161774,26,13.31,12.68,99.04,6.02
465,Desbiens,40,CA,1564161775,60,48.42,-71.95,75.2,5.82
466,Taketa,16,JP,1564161776,87,32.97,131.38,82.0,1.48
467,Poddorye,49,RU,1564161778,90,57.47,31.12,68.62,4.34
468,Gasa,100,BT,1564161779,96,27.91,89.73,41.62,6.87
469,Sept-Iles,90,CA,1564161677,49,50.2,-66.38,71.01,5.82
470,Dedza,49,MW,1564161782,64,-14.38,34.33,55.84,4.94
471,Morwell,16,AU,1564161783,95,-38.24,146.4,48.0,1.72
472,Maraa,83,BR,1564161785,59,-1.83,-65.37,86.8,1.88
473,Werda,15,BW,1564161786,16,-25.27,23.28,61.06,3.87
474,Cahors,99,FR,1564161787,76,44.45,1.44,75.99,7.67
475,Nushki,23,PK,1564161789,17,29.55,66.02,86.26,2.57
476,Surt,0,LY,1564161791,73,31.21,16.59,80.32,15.93
477,Flinders,75,AU,1564161792,71,-34.58,150.85,55.0,10.29
478,Noshiro,94,JP,1564161794,79,40.21,140.05,73.12,8.55
479,Vila Franca do Campo,20,PT,1564161795,83,37.72,-25.43,73.4,17.22
480,Mbigou,77,GA,1564161797,69,-1.9,11.91,76.54,2.84
481,Lagoa,0,PT,1564161798,37,37.14,-8.45,84.2,21.92
482,Iskateley,93,RU,1564161800,84,67.68,53.15,45.76,9.44
483,Meulaboh,100,ID,1564161801,69,4.14,96.13,83.74,5.06
484,Port Keats,75,AU,1564161803,88,-14.25,129.55,69.7,3.58
485,Portoferraio,0,IT,1564161804,51,42.81,10.31,86.0,13.87
486,Mandalgovi,85,MN,1564161806,46,45.76,106.27,70.78,23.11
487,Sambava,41,MG,1564161807,83,-14.27,50.17,65.56,3.58
488,Sur,14,OM,1564161809,66,22.57,59.53,82.3,19.48
489,Bata,40,GQ,1564161810,83,1.87,9.77,82.4,11.41
490,Trat,100,TH,1564161811,76,12.25,102.51,82.99,0.76
491,Ankang,0,CN,1564161813,78,32.73,108.99,74.56,1.57
492,Hirara,100,JP,1564161814,82,24.8,125.28,83.56,13.65
493,Barra Patuca,71,HN,1564161816,77,15.8,-84.28,82.48,10.83
494,Beloha,0,MG,1564161817,69,-25.17,45.06,63.94,15.86
495,Seoul,75,KR,1564161819,100,37.57,126.98,78.8,1.12
496,Huntsville,1,US,1564161821,45,34.73,-86.59,89.01,6.93
497,Diplo,91,PK,1564161822,68,24.47,69.59,85.72,28.48
498,Russell,1,US,1564161824,31,38.9,-98.86,91.99,23.04
499,Dicabisagan,100,PH,1564161826,94,17.08,122.42,74.92,1.34
500,Qandala,72,SO,1564161827,51,11.47,49.87,88.42,24.67
501,Itajobi,75,BR,1564161829,30,-21.31,-49.06,82.4,9.17
502,Srandakan,69,ID,1564161830,89,-7.94,110.25,74.02,12.93
503,Petropavlovsk-Kamchatskiy,20,RU,1564161832,100,53.05,158.65,44.6,2.24
504,Manaure,20,CO,1564161833,44,11.78,-72.45,95.0,13.87
505,Vardo,40,US,1564161835,48,39.62,-77.74,87.01,3.36
506,Gorin,75,BF,1564161836,45,12.34,-0.67,91.48,4.25
507,Vallenar,0,CL,1564161838,18,-28.58,-70.76,73.66,9.37
508,Turiacu,0,BR,1564161840,30,-5.01,-63.0,93.64,4.32
509,Aklavik,20,CA,1564161752,67,68.22,-135.01,57.2,4.7
510,Broken Hill,32,AU,1564161843,75,-31.97,141.45,44.6,2.24
511,Saint Anthony,1,US,1564161844,38,43.97,-111.68,75.2,4.7
512,Tual,51,ID,1564161789,84,-5.67,132.75,76.18,16.75
513,Laredo,1,US,1564161847,40,27.51,-99.51,91.0,3.36
514,Zemio,46,CF,1564161848,88,5.02,25.13,72.94,2.66
515,Leshukonskoye,100,RU,1564161850,74,64.9,45.76,67.36,5.44
516,Suez,0,EG,1564161851,54,29.97,32.54,81.22,18.95
517,Moses Lake,1,US,1564161622,29,47.13,-119.28,82.0,3.65
518,Moscow,0,RU,1564161616,60,55.75,37.62,79.0,8.95
519,Coihueco,0,CL,1564161855,58,-36.63,-71.83,57.2,9.17
520,Vysokovsk,0,RU,1564161856,60,56.32,36.55,75.2,13.42
521,Bismarck,1,US,1564161857,32,46.81,-100.78,81.0,14.99
522,Skibbereen,75,IE,1564161859,59,51.55,-9.27,64.4,12.75
523,Ibadan,100,NG,1564161860,93,7.38,3.9,74.2,5.64
524,Hailar,33,CN,1564161862,77,49.2,119.7,56.56,4.21
525,Portland,20,US,1564161824,51,43.66,-70.25,84.2,8.05
526,Prince George,40,CA,1564161744,77,53.92,-122.75,66.99,10.29
527,Dzerzhinskoye,99,RU,1564161865,86,56.84,95.22,55.84,2.73
528,Yaan,96,NG,1564161867,93,7.38,8.57,75.64,9.17
529,Miraflores,0,PE,1564161868,5,-16.39,-71.52,68.0,13.87
530,Coruripe,96,BR,1564161870,90,-10.12,-36.18,72.22,7.83
531,Cururupu,67,BR,1564161871,47,-1.82,-44.87,89.68,5.79
532,Fukue,75,JP,1564161873,88,35.03,136.69,80.6,20.8
533,Ornskoldsvik,0,SE,1564161874,44,63.29,18.72,80.6,6.93
534,Ballymena,40,GB,1564161875,60,54.87,-6.28,71.6,10.29
535,Las Choapas,40,MX,1564161877,78,17.91,-94.09,80.6,11.41
536,Chapais,1,CA,1564161878,54,49.78,-74.86,78.8,11.41
537,Tura,91,RU,1564161879,93,64.27,100.22,56.38,4.56
538,Pangkalanbuun,98,ID,1564161881,97,-2.68,111.62,71.86,1.74
539,Bayji,0,IQ,1564161882,13,34.93,43.49,93.28,11.14
540,Selenduma,96,RU,1564161884,93,50.92,106.24,58.36,3.47
541,Belmonte,72,PT,1564161885,38,40.36,-7.35,82.99,9.82
542,Cayenne,40,GF,1564161887,55,4.94,-52.33,89.6,10.29
543,Suntar,37,RU,1564161888,56,62.16,117.65,59.44,1.23
